,names,brand,price,links,description
0,Zapatilla Nike WAFFLE DEBUT Rosa,NIKE,63.00€,https://www.murallasport.com/producto/4477-zapatilla-nike-waffle-debut-rosa,"Los swooshes se envuelven alrededor del talón para formar una lengüeta de tiro, agregando una estética cuidadosa a la funcionalidad de poner y quitar fácilmente.  La entresuela de espuma levantada eleva la apariencia, brindando un toque moderno al estilo tradicional.  Las capas superpuestas de gamuza suave hacen eco de los materiales utilizados en los zapatos BRS, mientras que las capas inferiores textiles agregan durabilidad con un acabado nítido.  La suela exterior de goma tipo gofre agrega tracción, durabilidad y estilo tradicional.  El cuello escotado y acolchado se ve elegante y se siente genial.  El gran Swoosh retro se extiende hasta los ojos para darle una nueva versión del running de la vieja escuela."
1,Zapatilla Nike Waffle DEBUT,NIKE,69.99€,https://www.murallasport.com/producto/4631-zapatilla-nike-waffle-debut,Material exterior: Piel/tela Material interior: Tela Plantilla: Tela Suela: Fibra sintética Grosor del relleno: Relleno contra el frío Cuidados: Aplica un protector antes de usar Puntera: Redonda Cierre: Cordones
2,Zapatilla Nike Waffle Debut Beige,NIKE,70.00€,https://www.murallasport.com/producto/4958-zapatilla-nike-waffle-debut-beige,Retro obtiene un toque moderno con el debut de Nike waffle. La parte superior está hecha de nailon y gamuza tradicional fácil de peinar. La entresuela de cuña elevada actualizada brinda una apariencia elegante. Deja que salga el sol y comience un nuevo día.
3,W Vision Low Next Nature,NIKE,70.00€,https://www.murallasport.com/producto/4709-w-vision-low-next-nature,"Sabemos que te encanta el look clásico del baloncesto de los 80, pero que también te gusta la frenética cultura que desprende el deporte hoy en día. Te presentamos las Nike Court Vision Low. La parte superior impecable y los revestimientos cosidos están inspirados en el look de los ganchos del baloncesto retro. La zona del tobillo supersuave y de perfil bajo aporta elegancia y comodidad para el ritmo veloz de la actualidad."
4,Zapatilla Mujer Nike Court Vision Low  Blanco,NIKE,70.00€,https://www.murallasport.com/producto/4665-zapatilla-mujer-nike-court-vision-low-blanco,"Amor a primera vista Swoosh. Combinamos el estilo fastbreak del baloncesto de los 80 con el aspecto elegante del juego actual. Estas zapatillas cuentan con suelas de goma clásicas y una parte superior inspirada en las zapatillas de baloncesto de la vieja escuela. Los acentos rojos y un mensaje especial en el Swoosh hacen de estos íconos una adición extra dulce a tu rotación de calzado.  Con una combinación de materiales, la construcción del calzado se inspira en los tenis de baloncesto de mediados de los 80. La escritura de Nike en relieve en el Swoosh agrega textura e interés visual."
5,Zapatilla Nike WAFFLE DEBUT,NIKE,70.00€,https://www.murallasport.com/producto/4861-zapatilla-nike-waffle-debut,Zapatillas Nike para mujer modelo Nike Waffle Debut en color rosa y blanco. Parte superior de malla textil de ante y nailon con cierre de cordones. Clip de plástico en el talón para proporcionarte la energía de respuesta que necesitas para impulsar tus pasos. Suela de goma con entresuela de eva con el emblemático diseño Waffle para una mayor tracción y durabilidad. De la Marca Nike.
6,Zapatilla Mujer New Balance 574,NEW BALANCE,69.97€,https://www.murallasport.com/producto/4484-zapatilla-mujer-new-balance-574,Material exterior: Piel/tela Material interior: Tela Plantilla: Tela Suela: Fibra sintética Grosor del relleno: Relleno contra el frío Cuidados: Aplica un protector antes de usar Puntera: Redonda Forma del tacón: Plano Cierre: Cordones
7,Zapatilla  New Balance 373 v2,NEW BALANCE,76.46€,https://www.murallasport.com/producto/4842-zapatilla-new-balance-373-v2,"Esta zapatilla para mujer, con un diseño renovado, es tu nueva zapatilla versátil que combina con tu estilo diario. Con una nueva silueta más estilizada y el detalle del foxing, el empeine de ante y malla se asienta sobre una entresuela de EVA."
8,Zapatilla New Balance 373 Gris,NEW BALANCE,76.46€,https://www.murallasport.com/producto/4856-zapatilla-new-balance-373-gris,"La amortiguación de espuma EVA ligera de la entresuela y el talón aumenta la comodidad Empeine de ante y malla Suela de caucho diseñada para resistir el ajetreo diario Detalle moteado para ofrecer durabilidad y estilo Schnürverschluss für eine sichere, variable Passform Retro-Design mit modernen Akzenten"
9,Zapatilla New Balance 574v2  Beige,NEW BALANCE,79.96€,https://www.murallasport.com/producto/4691-zapatilla-new-balance-574v2-beige,"La amortiguación de espuma EVA ligera de la entresuela y el talón aumenta la comodidad La amortiguación de la entresuela ENCAP combina una espuma ligera con un borde de poliuretano duradero para aportar sujeción durante todo el día Empeine de cuero, ante y malla Perfil contemporáneo inspirado en las zapatillas clásicas de los años 70 para conferir un toque retro"
10,Zapatilla Mujer New Balance 327 Beige,NEW BALANCE,80.00€,https://www.murallasport.com/producto/4931-zapatilla-mujer-new-balance-327-beige,"El diseño moderno se combina con nuestro estilo de correr clásico en la 327. Confeccionadas con materiales de primera calidad que incluyen ante, estas zapatillas presentan un diseño de empeine que celebra nuestra silueta emblemática de los años 70 al tiempo que añaden detalles contemporáneos para renovar un clásico de todos los tiempos."
11,Zapatilla Mujer New Balance 327 Gris,NEW BALANCE,89.00€,https://www.murallasport.com/producto/4930-zapatilla-mujer-new-balance-327-gris,"La 327 supone un hito en los años 70 en lo que respecta a la innovación, al transgredir los elementos de estilo clásico dándoles un aspecto contemporáneo. Con una renovación angular de la silueta de cuña de calidad demostrada, el volumen, la marca “N” aplicada asimétricamente y la suela con relieve inspirado en el trail, la 327 proporciona un rediseño completo de nuestra tradición del mundo del running."
12,Zapatilla  Mujer New Balance 574  V2,NEW BALANCE,99.95€,https://www.murallasport.com/producto/4927-zapatilla-mujer-new-balance-574-v2,La amortiguación de espuma EVA ligera de la entresuela y el talón aumenta la comodidad La amortiguación de la entresuela ENCAP combina una espuma ligera con un borde de poliuretano duradero para aportar sujeción durante todo el día Empeine de cuero Perfil contemporáneo inspirado en las zapatillas clásicas de los años 70 para conferir un toque retro
13,Zapatilla New Balance UXC72KX,NEW BALANCE,108.00€,https://www.murallasport.com/producto/4855-zapatilla-new-balance-uxc72kx,"La XC-72 pone aún más al límite sus fuentes de inspiración en un territorio inexplorado, con un diseño inspirado en el optimismo tecnológico especulativo de los automóviles conceptuales de los años 70. Los tres patrones de tracción únicos de la suela y las características angulares proporcionan al habitual corte bajo y estilizado de las zapatillas de running de la época un estilo agresivo y experimental. La XC-72 es el futuro con el que se soñaba en el pasado, hecho realidad."
14,Zapatilla Mujer New Balance 327,NEW BALANCE,109.99€,https://www.murallasport.com/producto/4591-zapatilla-mujer-new-balance-327,"La 327 supone un hito en los años 70 en lo que respecta a la innovación, al transgredir los elementos de estilo clásico dándoles un aspecto contemporáneo. Con una renovación angular de la silueta de cuña de calidad demostrada, el volumen, la marca “N” aplicada asimétricamente y la suela con relieve inspirado en el trail, la 327 proporciona un rediseño completo de nuestra tradición del mundo del running."
15,Zapatilla Mujer New BALANCE 57/40 Rosa,NEW BALANCE,110.00€,https://www.murallasport.com/producto/4595-zapatilla-mujer-new-balance-57-40-rosa,"La 57/40 aporta a nuestra zapatilla emblemática 574 una renovación moderna y atrevida. Tomando elementos de la moda de los años 80 y 90, esta zapatilla versátil para mujer proporciona un estilo indefinible que se puede combinar prácticamente con cualquier tendencia. El diseño combina una silueta elegante inspirada en las carreras con un empeine equilibrado de ante y malla, amortiguación suave en la planta y una suela resistente para disfrutar de un estilo desenfadado y confort durante todo el día."
16,Zapatilla Mujer New Balance 5740 Multicolor,NEW BALANCE,110.00€,https://www.murallasport.com/producto/4975-zapatilla-mujer-new-balance-5740-multicolor,"La 57/40 es la respuesta a una pregunta sencilla, aunque de escala astronómica. ¿Qué sucedería si renováramos la 574: la zapatilla más típica de New Balance de todos los tiempos? A pesar de su legado de versatilidad sencilla y sin pretensiones, la 574 original presentaba un diseño único para su época, un formato híbrido para carretera y trail que no se apoyaba en elementos técnicos visibles."
17,Zapatilla  New Balance 327 Negro,NEW BALANCE,110.00€,https://www.murallasport.com/producto/4988-zapatilla-new-balance-327-negro,"El diseño moderno se combina con nuestro estilo de correr clásico en la 327. Confeccionadas con materiales de primera calidad que, estas zapatillas presentan un diseño de empeine que celebra nuestra silueta emblemática de los años 70 al tiempo que añaden detalles contemporáneos para renovar un clásico de todos los tiempos."
18,Zapatilla Mujer New Balance 327,NEW BALANCE,119.95€,https://www.murallasport.com/producto/5004-zapatilla-mujer-new-balance-327,"El diseño moderno se combina con nuestro estilo de correr clásico en la 327. Confeccionadas con materiales de primera calidad que incluyen ante, estas zapatillas presentan un diseño de empeine que celebra nuestra silueta emblemática de los años 70 al tiempo que añaden detalles contemporáneos para renovar un clásico de todos los tiempos."
19,Zapatilla Mujer New Balance 327,NEW BALANCE,120.00€,https://www.murallasport.com/producto/5051-zapatilla-mujer-new-balance-327,Cierre cordones
20,Zapatilla  Converse All Star Hi Recycled  Verde,CONVERSE,75.00€,https://www.murallasport.com/producto/4137-zapatilla-converse-all-star-hi-recycled-verde,Zapato alto con una parte superior hecha de al menos un 50 % de algodón reciclado y al menos un 50 % de algodón Parche de estrella clásico en el tobillo y rayas en la entresuela para una dosis de ADN Converse La plantilla OrthoLite ayuda a mantener la comodidad Elementos de diseño Heritage como puntera de goma y puntera para un look icónico La suela exterior con patrón de diamantes es parte del diseño original.
21,CHUCK TAYLOR ALL STAR PARTIALLY RECYCLED COTTON...,CONVERSE,75.00€,https://www.murallasport.com/producto/4230-chuck-taylor-all-star-partially-recycled-cotton-pale-ameth,Zapato alto con una parte superior hecha de al menos un 50 % de algodón reciclado y al menos un 50 % de algodón Parche de estrella clásico en el tobillo y rayas en la entresuela para una dosis de ADN Converse La plantilla OrthoLite ayuda a mantener la comodidad Elementos de diseño Heritage como puntera de goma y puntera para un look icónico
22,Zp.Mj.Converse All star MOVE Canvas Violeta,CONVERSE,81.00€,https://www.murallasport.com/producto/4229-zp-mj-converse-all-star-move-canvas-violeta,"Zapatilla de plataforma alta con aproximadamente 50 % de lona de algodón y aproximadamente 50 % de lona de algodón reciclado en la parte superior Entresuela de plataforma con líneas de diseño fluidas. Elementos de diseño clásico, como un parche de estrella en el tobillo y un protector de puntera con patrón de diamantes La amortiguación EVA lo hace liviano. Plantilla troquelada SmartFOAM para mayor comodidad."
